 0.4957932E-03 at R=8Mpc/h  0.1995316E-05 at Rsmooth=   130.    
 #   k/h   P(k)
   0.100000E-03   0.430796E+00
   0.102020E-03   0.439145E+00
   0.104081E-03   0.447657E+00
   0.106184E-03   0.456333E+00
   0.108329E-03   0.465177E+00
   0.110517E-03   0.474192E+00
   0.112750E-03   0.483382E+00
   0.115027E-03   0.492751E+00
   0.117351E-03   0.502300E+00
   0.119722E-03   0.512035E+00
   0.122140E-03   0.521958E+00
   0.124608E-03   0.532073E+00
   0.127125E-03   0.542384E+00
   0.129693E-03   0.552895E+00
   0.132313E-03   0.563609E+00
   0.134986E-03   0.574531E+00
   0.137713E-03   0.585665E+00
   0.140495E-03   0.597014E+00
   0.143333E-03   0.608582E+00
   0.146228E-03   0.620375E+00
   0.149182E-03   0.632396E+00
   0.152196E-03   0.644650E+00
   0.155271E-03   0.657140E+00
   0.158407E-03   0.669873E+00
   0.161607E-03   0.682852E+00
   0.164872E-03   0.696082E+00
   0.168203E-03   0.709568E+00
   0.171601E-03   0.723316E+00
   0.175067E-03   0.737329E+00
   0.178604E-03   0.751613E+00
   0.182212E-03   0.766174E+00
   0.185893E-03   0.781016E+00
   0.189648E-03   0.796146E+00
   0.193479E-03   0.811568E+00
   0.197388E-03   0.827288E+00
   0.201375E-03   0.843313E+00
   0.205443E-03   0.859647E+00
   0.209594E-03   0.876297E+00
   0.213828E-03   0.893269E+00
   0.218147E-03   0.910569E+00
   0.222554E-03   0.928203E+00
   0.227050E-03   0.946178E+00
   0.231637E-03   0.964501E+00
   0.236316E-03   0.983177E+00
   0.241090E-03   0.100221E+01
   0.245960E-03   0.102162E+01
   0.250929E-03   0.104140E+01
   0.255998E-03   0.106156E+01
   0.261170E-03   0.108211E+01
   0.266446E-03   0.110306E+01
   0.271828E-03   0.112441E+01
   0.277319E-03   0.114617E+01
   0.282922E-03   0.116836E+01
   0.288637E-03   0.119097E+01
   0.294468E-03   0.121402E+01
   0.300417E-03   0.123751E+01
   0.306485E-03   0.126145E+01
   0.312677E-03   0.128586E+01
   0.318993E-03   0.131074E+01
   0.325437E-03   0.133609E+01
   0.332012E-03   0.136194E+01
   0.338719E-03   0.138828E+01
   0.345561E-03   0.141513E+01
   0.352542E-03   0.144249E+01
   0.359664E-03   0.147038E+01
   0.366930E-03   0.149881E+01
   0.374342E-03   0.152778E+01
   0.381904E-03   0.155731E+01
   0.389619E-03   0.158741E+01
   0.397490E-03   0.161809E+01
   0.405520E-03   0.164935E+01
   0.413712E-03   0.168122E+01
   0.422070E-03   0.171369E+01
   0.430596E-03   0.174679E+01
   0.439295E-03   0.178052E+01
   0.448169E-03   0.181490E+01
   0.457222E-03   0.184994E+01
   0.466459E-03   0.188564E+01
   0.475882E-03   0.192203E+01
   0.485496E-03   0.195912E+01
   0.495303E-03   0.199691E+01
   0.505309E-03   0.203542E+01
   0.515517E-03   0.207467E+01
   0.525931E-03   0.211467E+01
   0.536556E-03   0.215543E+01
   0.547395E-03   0.219696E+01
   0.558453E-03   0.223929E+01
   0.569734E-03   0.228242E+01
   0.581244E-03   0.232637E+01
   0.592986E-03   0.237115E+01
   0.604965E-03   0.241678E+01
   0.617186E-03   0.246328E+01
   0.629654E-03   0.251066E+01
   0.642374E-03   0.255893E+01
   0.655350E-03   0.260811E+01
   0.668589E-03   0.265823E+01
   0.682096E-03   0.270928E+01
   0.695875E-03   0.276130E+01
   0.709933E-03   0.281430E+01
   0.724274E-03   0.286829E+01
   0.738906E-03   0.292329E+01
   0.753832E-03   0.297932E+01
   0.769061E-03   0.303640E+01
   0.784597E-03   0.309455E+01
   0.800447E-03   0.315378E+01
   0.816617E-03   0.321412E+01
   0.833114E-03   0.327557E+01
   0.849944E-03   0.333817E+01
   0.867114E-03   0.340193E+01
   0.884631E-03   0.346686E+01
   0.902501E-03   0.353299E+01
   0.920733E-03   0.360034E+01
   0.939333E-03   0.366893E+01
   0.958309E-03   0.373878E+01
   0.977668E-03   0.380990E+01
   0.997418E-03   0.388232E+01
   0.101757E-02   0.395606E+01
   0.103812E-02   0.403114E+01
   0.105910E-02   0.410757E+01
   0.108049E-02   0.418539E+01
   0.110232E-02   0.426461E+01
   0.112459E-02   0.434525E+01
   0.114730E-02   0.442734E+01
   0.117048E-02   0.451089E+01
   0.119413E-02   0.459592E+01
   0.121825E-02   0.468246E+01
   0.124286E-02   0.477053E+01
   0.126797E-02   0.486015E+01
   0.129358E-02   0.495133E+01
   0.131971E-02   0.504411E+01
   0.134637E-02   0.513849E+01
   0.137357E-02   0.523451E+01
   0.140132E-02   0.533218E+01
   0.142963E-02   0.543152E+01
   0.145851E-02   0.553256E+01
   0.148797E-02   0.563530E+01
   0.151803E-02   0.573978E+01
   0.154870E-02   0.584600E+01
   0.157998E-02   0.595400E+01
   0.161190E-02   0.606378E+01
   0.164446E-02   0.617537E+01
   0.167768E-02   0.628877E+01
   0.171158E-02   0.640402E+01
   0.174615E-02   0.652112E+01
   0.178143E-02   0.664010E+01
   0.181741E-02   0.676095E+01
   0.185413E-02   0.688371E+01
   0.189158E-02   0.700838E+01
   0.192980E-02   0.713498E+01
   0.196878E-02   0.726351E+01
   0.200855E-02   0.739398E+01
   0.204913E-02   0.752642E+01
   0.209052E-02   0.766082E+01
   0.213276E-02   0.779719E+01
   0.217584E-02   0.793554E+01
   0.221979E-02   0.807587E+01
   0.226464E-02   0.821818E+01
   0.231039E-02   0.836249E+01
   0.235706E-02   0.850878E+01
   0.240467E-02   0.865706E+01
   0.245325E-02   0.880733E+01
   0.250281E-02   0.895958E+01
