#           k/h    P           
   0.100000E-03   0.416975E+03
   0.102020E-03   0.425261E+03
   0.104081E-03   0.433720E+03
   0.106184E-03   0.442354E+03
   0.108329E-03   0.451168E+03
   0.110517E-03   0.460166E+03
   0.112750E-03   0.469352E+03
   0.115027E-03   0.478731E+03
   0.117351E-03   0.488306E+03
   0.119722E-03   0.498083E+03
   0.122140E-03   0.508066E+03
   0.124608E-03   0.518260E+03
   0.127125E-03   0.528669E+03
   0.129693E-03   0.539299E+03
   0.132313E-03   0.550155E+03
   0.134986E-03   0.561242E+03
   0.137713E-03   0.572566E+03
   0.140495E-03   0.584131E+03
   0.143333E-03   0.595944E+03
   0.146228E-03   0.608010E+03
   0.149182E-03   0.620336E+03
   0.152196E-03   0.632927E+03
   0.155271E-03   0.645789E+03
   0.158407E-03   0.658930E+03
   0.161607E-03   0.672354E+03
   0.164872E-03   0.686069E+03
   0.168203E-03   0.700081E+03
   0.171601E-03   0.714397E+03
   0.175067E-03   0.729025E+03
   0.178604E-03   0.743970E+03
   0.182212E-03   0.759241E+03
   0.185893E-03   0.774844E+03
   0.189648E-03   0.790788E+03
   0.193479E-03   0.807078E+03
   0.197388E-03   0.823723E+03
   0.201375E-03   0.840731E+03
   0.205443E-03   0.858109E+03
   0.209594E-03   0.875864E+03
   0.213828E-03   0.894006E+03
   0.218147E-03   0.912541E+03
   0.222554E-03   0.931477E+03
   0.227050E-03   0.950823E+03
   0.231637E-03   0.970586E+03
   0.236316E-03   0.990774E+03
   0.241090E-03   0.101139E+04
   0.245960E-03   0.103246E+04
   0.250929E-03   0.105397E+04
   0.255998E-03   0.107593E+04
   0.261170E-03   0.109836E+04
   0.266446E-03   0.112126E+04
   0.271828E-03   0.114464E+04
   0.277319E-03   0.116850E+04
   0.282922E-03   0.119285E+04
   0.288637E-03   0.121770E+04
   0.294468E-03   0.124305E+04
   0.300417E-03   0.126891E+04
   0.306485E-03   0.129529E+04
   0.312677E-03   0.132218E+04
   0.318993E-03   0.134960E+04
   0.325437E-03   0.137755E+04
   0.332012E-03   0.140603E+04
   0.338719E-03   0.143504E+04
   0.345561E-03   0.146459E+04
   0.352542E-03   0.149468E+04
   0.359664E-03   0.152531E+04
   0.366930E-03   0.155647E+04
   0.374342E-03   0.158818E+04
   0.381904E-03   0.162043E+04
   0.389619E-03   0.165321E+04
   0.397490E-03   0.168653E+04
   0.405520E-03   0.172038E+04
   0.413712E-03   0.175476E+04
   0.422070E-03   0.178966E+04
   0.430596E-03   0.182508E+04
   0.439295E-03   0.186101E+04
   0.448169E-03   0.189744E+04
   0.457222E-03   0.193437E+04
   0.466459E-03   0.197179E+04
   0.475882E-03   0.200968E+04
   0.485496E-03   0.204804E+04
   0.495303E-03   0.208685E+04
   0.505309E-03   0.212610E+04
   0.515517E-03   0.216579E+04
   0.525931E-03   0.220590E+04
   0.536556E-03   0.224640E+04
   0.547395E-03   0.228730E+04
   0.558453E-03   0.232857E+04
   0.569734E-03   0.237021E+04
   0.581244E-03   0.241218E+04
   0.592986E-03   0.245449E+04
   0.604965E-03   0.249711E+04
   0.617186E-03   0.254002E+04
   0.629654E-03   0.258322E+04
   0.642374E-03   0.262669E+04
   0.655350E-03   0.267040E+04
   0.668589E-03   0.271435E+04
   0.682096E-03   0.275853E+04
   0.695875E-03   0.280291E+04
   0.709933E-03   0.284748E+04
   0.724274E-03   0.289224E+04
   0.738906E-03   0.293716E+04
   0.753832E-03   0.298225E+04
   0.769061E-03   0.302748E+04
   0.784597E-03   0.307285E+04
   0.800447E-03   0.311835E+04
   0.816617E-03   0.316397E+04
   0.833114E-03   0.320971E+04
   0.849944E-03   0.325556E+04
   0.867114E-03   0.330152E+04
   0.884631E-03   0.334759E+04
   0.902501E-03   0.339376E+04
   0.920733E-03   0.344003E+04
   0.939333E-03   0.348641E+04
   0.958309E-03   0.353290E+04
   0.977668E-03   0.357950E+04
   0.997418E-03   0.362622E+04
   0.101757E-02   0.367305E+04
   0.103812E-02   0.372002E+04
   0.105910E-02   0.376711E+04
   0.108049E-02   0.381435E+04
   0.110232E-02   0.386175E+04
   0.112459E-02   0.390930E+04
   0.114730E-02   0.395702E+04
   0.117048E-02   0.400493E+04
   0.119413E-02   0.405303E+04
   0.121825E-02   0.410133E+04
   0.124286E-02   0.414984E+04
   0.126797E-02   0.419858E+04
   0.129358E-02   0.424756E+04
   0.131971E-02   0.429679E+04
   0.134637E-02   0.434628E+04
   0.137357E-02   0.439603E+04
   0.140132E-02   0.444607E+04
   0.142963E-02   0.449641E+04
   0.145851E-02   0.454704E+04
   0.148797E-02   0.459799E+04
   0.151803E-02   0.464925E+04
   0.154870E-02   0.470085E+04
   0.157998E-02   0.475278E+04
   0.161190E-02   0.480506E+04
   0.164446E-02   0.485769E+04
   0.167768E-02   0.491068E+04
   0.171158E-02   0.496403E+04
   0.174615E-02   0.501775E+04
   0.178143E-02   0.507184E+04
   0.181741E-02   0.512630E+04
   0.185413E-02   0.518114E+04
   0.189158E-02   0.523636E+04
   0.192980E-02   0.529196E+04
   0.196878E-02   0.534794E+04
   0.200855E-02   0.540431E+04
   0.204913E-02   0.546105E+04
   0.209052E-02   0.551817E+04
   0.213276E-02   0.557567E+04
   0.217584E-02   0.563354E+04
   0.221979E-02   0.569178E+04
   0.226464E-02   0.575038E+04
   0.231039E-02   0.580934E+04
   0.235706E-02   0.586866E+04
   0.240467E-02   0.592833E+04
   0.245325E-02   0.598834E+04
   0.250281E-02   0.604868E+04
   0.255337E-02   0.610934E+04
   0.260495E-02   0.617033E+04
   0.265758E-02   0.623161E+04
   0.271126E-02   0.629320E+04
   0.276603E-02   0.635507E+04
   0.282191E-02   0.641721E+04
   0.287892E-02   0.647961E+04
   0.293708E-02   0.654225E+04
   0.299641E-02   0.660514E+04
   0.305694E-02   0.666824E+04
   0.311870E-02   0.673155E+04
   0.318170E-02   0.679505E+04
   0.324597E-02   0.685872E+04
   0.331155E-02   0.692255E+04
   0.337844E-02   0.698651E+04
   0.344669E-02   0.705058E+04
   0.351632E-02   0.711474E+04
   0.358735E-02   0.717898E+04
   0.365982E-02   0.724328E+04
   0.373376E-02   0.730764E+04
   0.380918E-02   0.737205E+04
   0.388613E-02   0.743649E+04
   0.396464E-02   0.750095E+04
   0.404473E-02   0.756538E+04
   0.412644E-02   0.762975E+04
   0.420980E-02   0.769401E+04
