#           k/h    P           
   0.100000E-03   0.746427E+02
   0.102020E-03   0.763030E+02
   0.104081E-03   0.780076E+02
   0.106184E-03   0.797582E+02
   0.108329E-03   0.815562E+02
   0.110517E-03   0.834034E+02
   0.112750E-03   0.853015E+02
   0.115027E-03   0.872522E+02
   0.117351E-03   0.892573E+02
   0.119722E-03   0.913189E+02
   0.122140E-03   0.934389E+02
   0.124608E-03   0.956195E+02
   0.127125E-03   0.978627E+02
   0.129693E-03   0.100171E+03
   0.132313E-03   0.102546E+03
   0.134986E-03   0.104991E+03
   0.137713E-03   0.107509E+03
   0.140495E-03   0.110101E+03
   0.143333E-03   0.112771E+03
   0.146228E-03   0.115521E+03
   0.149182E-03   0.118354E+03
   0.152196E-03   0.121274E+03
   0.155271E-03   0.124283E+03
   0.158407E-03   0.127384E+03
   0.161607E-03   0.130582E+03
   0.164872E-03   0.133879E+03
   0.168203E-03   0.137279E+03
   0.171601E-03   0.140785E+03
   0.175067E-03   0.144402E+03
   0.178604E-03   0.148133E+03
   0.182212E-03   0.151983E+03
   0.185893E-03   0.155954E+03
   0.189648E-03   0.160052E+03
   0.193479E-03   0.164281E+03
   0.197388E-03   0.168644E+03
   0.201375E-03   0.173147E+03
   0.205443E-03   0.177795E+03
   0.209594E-03   0.182591E+03
   0.213828E-03   0.187540E+03
   0.218147E-03   0.192647E+03
   0.222554E-03   0.197917E+03
   0.227050E-03   0.203355E+03
   0.231637E-03   0.208965E+03
   0.236316E-03   0.214753E+03
   0.241090E-03   0.220723E+03
   0.245960E-03   0.226879E+03
   0.250929E-03   0.233228E+03
   0.255998E-03   0.239773E+03
   0.261170E-03   0.246518E+03
   0.266446E-03   0.253469E+03
   0.271828E-03   0.260630E+03
   0.277319E-03   0.268005E+03
   0.282922E-03   0.275598E+03
   0.288637E-03   0.283412E+03
   0.294468E-03   0.291451E+03
   0.300417E-03   0.299719E+03
   0.306485E-03   0.308217E+03
   0.312677E-03   0.316949E+03
   0.318993E-03   0.325917E+03
   0.325437E-03   0.335121E+03
   0.332012E-03   0.344563E+03
   0.338719E-03   0.354244E+03
   0.345561E-03   0.364163E+03
   0.352542E-03   0.374320E+03
   0.359664E-03   0.384713E+03
   0.366930E-03   0.395340E+03
   0.374342E-03   0.406197E+03
   0.381904E-03   0.417282E+03
   0.389619E-03   0.428590E+03
   0.397490E-03   0.440114E+03
   0.405520E-03   0.451848E+03
   0.413712E-03   0.463784E+03
   0.422070E-03   0.475915E+03
   0.430596E-03   0.488230E+03
   0.439295E-03   0.500718E+03
   0.448169E-03   0.513367E+03
   0.457222E-03   0.526165E+03
   0.466459E-03   0.539096E+03
   0.475882E-03   0.552146E+03
   0.485496E-03   0.565298E+03
   0.495303E-03   0.578533E+03
   0.505309E-03   0.591832E+03
   0.515517E-03   0.605176E+03
   0.525931E-03   0.618543E+03
   0.536556E-03   0.631910E+03
   0.547395E-03   0.645253E+03
   0.558453E-03   0.658548E+03
   0.569734E-03   0.671770E+03
   0.581244E-03   0.684891E+03
   0.592986E-03   0.697884E+03
   0.604965E-03   0.710722E+03
   0.617186E-03   0.723375E+03
   0.629654E-03   0.735813E+03
   0.642374E-03   0.748008E+03
   0.655350E-03   0.759929E+03
   0.668589E-03   0.771547E+03
   0.682096E-03   0.782831E+03
   0.695875E-03   0.793749E+03
   0.709933E-03   0.804274E+03
   0.724274E-03   0.814375E+03
   0.738906E-03   0.824024E+03
   0.753832E-03   0.833193E+03
   0.769061E-03   0.841853E+03
   0.784597E-03   0.849980E+03
   0.800447E-03   0.857548E+03
   0.816617E-03   0.864535E+03
   0.833114E-03   0.870917E+03
   0.849944E-03   0.876674E+03
   0.867114E-03   0.881788E+03
   0.884631E-03   0.886244E+03
   0.902501E-03   0.890026E+03
   0.920733E-03   0.893122E+03
   0.939333E-03   0.895521E+03
   0.958309E-03   0.897217E+03
   0.977668E-03   0.898205E+03
   0.997418E-03   0.898483E+03
   0.101757E-02   0.898049E+03
   0.103812E-02   0.896905E+03
   0.105910E-02   0.895058E+03
   0.108049E-02   0.892514E+03
   0.110232E-02   0.889285E+03
   0.112459E-02   0.885380E+03
   0.114730E-02   0.880815E+03
   0.117048E-02   0.875607E+03
   0.119413E-02   0.869775E+03
   0.121825E-02   0.863341E+03
   0.124286E-02   0.856325E+03
   0.126797E-02   0.848752E+03
   0.129358E-02   0.840647E+03
   0.131971E-02   0.832040E+03
   0.134637E-02   0.822958E+03
   0.137357E-02   0.813428E+03
   0.140132E-02   0.803481E+03
   0.142963E-02   0.793148E+03
   0.145851E-02   0.782459E+03
   0.148797E-02   0.771446E+03
   0.151803E-02   0.760138E+03
   0.154870E-02   0.748567E+03
   0.157998E-02   0.736762E+03
   0.161190E-02   0.724753E+03
   0.164446E-02   0.712569E+03
   0.167768E-02   0.700239E+03
   0.171158E-02   0.687790E+03
   0.174615E-02   0.675247E+03
   0.178143E-02   0.662637E+03
   0.181741E-02   0.649982E+03
   0.185413E-02   0.637305E+03
   0.189158E-02   0.624629E+03
   0.192980E-02   0.611973E+03
   0.196878E-02   0.599355E+03
   0.200855E-02   0.586794E+03
   0.204913E-02   0.574305E+03
   0.209052E-02   0.561904E+03
   0.213276E-02   0.549604E+03
   0.217584E-02   0.537417E+03
   0.221979E-02   0.525355E+03
   0.226464E-02   0.513427E+03
   0.231039E-02   0.501644E+03
   0.235706E-02   0.490013E+03
   0.240467E-02   0.478541E+03
   0.245325E-02   0.467234E+03
   0.250281E-02   0.456099E+03
   0.255337E-02   0.445138E+03
   0.260495E-02   0.434358E+03
   0.265758E-02   0.423759E+03
   0.271126E-02   0.413346E+03
   0.276603E-02   0.403120E+03
   0.282191E-02   0.393082E+03
   0.287892E-02   0.383235E+03
   0.293708E-02   0.373578E+03
   0.299641E-02   0.364111E+03
   0.305694E-02   0.354835E+03
   0.311870E-02   0.345748E+03
   0.318170E-02   0.336851E+03
   0.324597E-02   0.328141E+03
   0.331155E-02   0.319618E+03
   0.337844E-02   0.311281E+03
   0.344669E-02   0.303126E+03
   0.351632E-02   0.295153E+03
   0.358735E-02   0.287359E+03
   0.365982E-02   0.279743E+03
   0.373376E-02   0.272302E+03
   0.380918E-02   0.265033E+03
   0.388613E-02   0.257934E+03
   0.396464E-02   0.251003E+03
   0.404473E-02   0.244235E+03
   0.412644E-02   0.237629E+03
   0.420980E-02   0.231182E+03
   0.429484E-02   0.224891E+03
   0.438160E-02   0.218754E+03
   0.447012E-02   0.212770E+03
   0.456042E-02   0.206936E+03
   0.465255E-02   0.201249E+03
   0.474653E-02   0.195706E+03
   0.484242E-02   0.190303E+03
   0.494024E-02   0.185036E+03
   0.504004E-02   0.179903E+03
   0.514186E-02   0.174899E+03
   0.524573E-02   0.170023E+03
   0.535170E-02   0.165271E+03
   0.545981E-02   0.160642E+03
   0.557011E-02   0.156133E+03
   0.568263E-02   0.151741E+03
   0.579743E-02   0.147463E+03
   0.591455E-02   0.143297E+03
   0.603403E-02   0.139241E+03
   0.615592E-02   0.135291E+03
   0.628028E-02   0.131446E+03
   0.640715E-02   0.127703E+03
   0.653658E-02   0.124060E+03
   0.666863E-02   0.120513E+03
   0.680335E-02   0.117062E+03
   0.694078E-02   0.113703E+03
   0.708100E-02   0.110434E+03
   0.722404E-02   0.107254E+03
   0.736998E-02   0.104159E+03
   0.751886E-02   0.101149E+03
   0.767075E-02   0.982203E+02
   0.782571E-02   0.953715E+02
   0.798380E-02   0.926003E+02
   0.814509E-02   0.899047E+02
   0.830963E-02   0.872826E+02
   0.847750E-02   0.847323E+02
   0.864875E-02   0.822522E+02
   0.882347E-02   0.798408E+02
   0.900171E-02   0.774966E+02
   0.918356E-02   0.752182E+02
   0.936908E-02   0.730039E+02
   0.955835E-02   0.708515E+02
   0.975144E-02   0.687590E+02
   0.994843E-02   0.667243E+02
   0.101494E-01   0.647455E+02
   0.103544E-01   0.628208E+02
   0.105636E-01   0.609490E+02
   0.107770E-01   0.591290E+02
   0.109947E-01   0.573595E+02
   0.112168E-01   0.556394E+02
   0.114434E-01   0.539676E+02
   0.116746E-01   0.523425E+02
   0.119104E-01   0.507628E+02
   0.121510E-01   0.492272E+02
   0.123965E-01   0.477343E+02
   0.126469E-01   0.462828E+02
   0.129024E-01   0.448719E+02
   0.131631E-01   0.435004E+02
   0.134290E-01   0.421673E+02
   0.137003E-01   0.408718E+02
   0.139770E-01   0.396127E+02
   0.142594E-01   0.383890E+02
   0.145474E-01   0.371998E+02
   0.148413E-01   0.360439E+02
   0.151411E-01   0.349204E+02
   0.154470E-01   0.338284E+02
   0.157590E-01   0.327669E+02
   0.160774E-01   0.317350E+02
   0.164022E-01   0.307317E+02
   0.167335E-01   0.297563E+02
   0.170716E-01   0.288079E+02
   0.174164E-01   0.278858E+02
   0.177683E-01   0.269891E+02
   0.181272E-01   0.261172E+02
   0.184934E-01   0.252694E+02
   0.188670E-01   0.244449E+02
   0.192481E-01   0.236432E+02
   0.196370E-01   0.228635E+02
   0.200337E-01   0.221052E+02
   0.204384E-01   0.213678E+02
   0.208513E-01   0.206507E+02
   0.212725E-01   0.199532E+02
   0.217022E-01   0.192749E+02
   0.221406E-01   0.186152E+02
   0.225879E-01   0.179735E+02
   0.230442E-01   0.173495E+02
   0.235097E-01   0.167425E+02
   0.239847E-01   0.161522E+02
   0.244692E-01   0.155780E+02
   0.249635E-01   0.150197E+02
   0.254678E-01   0.144767E+02
   0.259823E-01   0.139486E+02
   0.265072E-01   0.134353E+02
   0.270426E-01   0.129363E+02
   0.275889E-01   0.124513E+02
   0.281463E-01   0.119800E+02
   0.287149E-01   0.115221E+02
   0.292949E-01   0.110774E+02
   0.298867E-01   0.106456E+02
   0.304905E-01   0.102264E+02
   0.311064E-01   0.981955E+01
   0.317348E-01   0.942494E+01
   0.323759E-01   0.904236E+01
   0.330299E-01   0.867161E+01
   0.336972E-01   0.831252E+01
   0.343779E-01   0.796491E+01
   0.350724E-01   0.762865E+01
   0.357809E-01   0.730363E+01
   0.365038E-01   0.698971E+01
   0.372412E-01   0.668671E+01
   0.379935E-01   0.639451E+01
   0.387610E-01   0.611304E+01
   0.395440E-01   0.584222E+01
   0.403429E-01   0.558194E+01
   0.411579E-01   0.533206E+01
   0.419893E-01   0.509243E+01
   0.428375E-01   0.486300E+01
   0.437029E-01   0.464366E+01
   0.445858E-01   0.443428E+01
   0.454865E-01   0.423469E+01
   0.464053E-01   0.404474E+01
   0.473428E-01   0.386436E+01
   0.482992E-01   0.369347E+01
   0.492749E-01   0.353194E+01
   0.502703E-01   0.337960E+01
   0.512858E-01   0.323623E+01
   0.523219E-01   0.310156E+01
   0.533789E-01   0.297530E+01
